iter	Logloss
144	0.3750601714
145	0.3740052606
146	0.3730354688
147	0.3719427055
148	0.3706965012
149	0.3700716754
150	0.3690843645
151	0.3677404638
152	0.3668268085
153	0.3658460734
154	0.364764638
155	0.3638405663
156	0.3629157107
157	0.3615675942
158	0.3601817275
159	0.3590605542
160	0.3580920396
161	0.3569267112
162	0.3561299906
163	0.3550589942
164	0.3539734864
165	0.3526535235
166	0.3519230133
167	0.3507363985
168	0.3495512998
169	0.348620992
170	0.3478275387
171	0.3464660488
172	0.3455328453
173	0.3446498014
174	0.3434897337
175	0.3430380023
176	0.3423960491
177	0.3422223346
178	0.3414984032
179	0.3401987492
180	0.3397403691
181	0.3389217893
182	0.3379466009
183	0.337205764
184	0.3369136039
185	0.335783769
186	0.3350565541
187	0.333987855
188	0.3334208381
189	0.3322100595
190	0.331843619
191	0.3311233128
192	0.3301186951
193	0.3294087061
194	0.3287585077
195	0.3276402071
196	0.3268327174
197	0.3260095804
198	0.3250286682
199	0.324684861
200	0.323924395
201	0.3230600743
202	0.3218866789
203	0.3211466569
204	0.3207712388
205	0.3199742639
206	0.3192023303
207	0.3183556863
208	0.3176068091
209	0.316779137
210	0.3161975262
211	0.3153618475
212	0.3148271438
213	0.314068143
214	0.3134454177
215	0.3124546563
216	0.3119323868
217	0.3111921196
218	0.3106580899
219	0.3096729052
220	0.3087859456
221	0.3080926871
222	0.3077566523
223	0.3068514194
224	0.3061142034
225	0.3053531807
226	0.3050101297
227	0.3044095914
228	0.3036789906
229	0.3029396401
230	0.3023481289
231	0.3019373799
232	0.301190035
233	0.3005185344
234	0.2999281792
235	0.2989616902
236	0.2983288314
237	0.2974185646
238	0.2967186782
239	0.2959041768
240	0.2953726472
241	0.2947652339
242	0.2940728427
243	0.2932435174
244	0.2924459558
245	0.2919825443
246	0.2915172965
247	0.2909224446
248	0.2905291964
249	0.2899058704
250	0.289305611
251	0.2886597136
252	0.2879526574
253	0.2872447033
254	0.2867080243
255	0.2860442684
256	0.2853457543
257	0.2846458464
258	0.2841930173
259	0.2836257748
260	0.2830973878
261	0.2825288285
262	0.281943245
263	0.2813130591
264	0.2806125282
265	0.2800353229
266	0.2792873774
267	0.2787927265
268	0.2780463216
269	0.2773432611
270	0.2768859607
271	0.2765006264
272	0.2760610328
273	0.2757625844
274	0.2754301889
275	0.2748639833
276	0.2746047046
277	0.2739447393
278	0.2734597132
279	0.2728541324
280	0.2722408192
281	0.2716156287
282	0.2710918989
283	0.2707102781
284	0.2701189197
285	0.2694988207
286	0.2689808183
287	0.2684204061
288	0.2679204401
289	0.2675725985
290	0.2670900484
291	0.2663541704
292	0.2658796105
293	0.2653424821
294	0.2646682394
295	0.2641674699
296	0.2636938011
297	0.2632870721
298	0.2626576183
299	0.2625128479
300	0.2621231553
301	0.2616901788
302	0.2611575113
303	0.2604399012
304	0.2600186651
305	0.2597833108
306	0.2591543169
307	0.2585014049
308	0.2582021249
309	0.2576933583
310	0.2573945315
311	0.2569026546
312	0.2566703397
313	0.256070128
314	0.2554070942
315	0.2549984326
316	0.2544575615
317	0.2541085744
318	0.2537884067
319	0.2533958967
320	0.2528727115
321	0.2524857957
322	0.2520714824
323	0.2514054714
324	0.2509579306
325	0.2504067622
326	0.2501736733
327	0.2497623039
328	0.2492445427
329	0.2489948286
330	0.2485878303
331	0.2480932415
332	0.2478183007
333	0.2475150198
334	0.2469752116
335	0.2463910996
336	0.245840655
337	0.2454070486
338	0.2451114914
339	0.2445736905
340	0.2445276446
341	0.2440330005
342	0.2436988662
343	0.2433128443
344	0.2428302804
345	0.2421254783
346	0.2416602846
347	0.2414142947
348	0.2411107941
349	0.2406538051
350	0.2404154554
351	0.2397075594
352	0.2395076709
353	0.2391043624
354	0.2388487969
355	0.2383034125
356	0.237967207
357	0.2377575003
358	0.2372036094
359	0.236739796
360	0.2364240748
361	0.2361184422
362	0.2359734788
363	0.2356298958
364	0.2352519984
365	0.2348504613
366	0.234378415
367	0.2339084488
368	0.2335440385
369	0.2331855269
370	0.2328299838
371	0.2325790389
372	0.2321143558
373	0.2316462979
374	0.2312879668
375	0.230997824
376	0.2305797125
377	0.2302671143
378	0.2298799339
379	0.2295008904
380	0.2289493029
381	0.2285010036
382	0.2283051698
383	0.2280532408
384	0.227874916
385	0.2276691725
386	0.2273140658
387	0.2269729223
388	0.226509609
389	0.2261179401
390	0.2257620333
391	0.225412484
392	0.225050411
393	0.2248148862
394	0.2245911964
395	0.2242487965
396	0.2240126018
397	0.2237290364
398	0.2235486052
399	0.2230899499
400	0.2227816535
401	0.2224751935
402	0.2221170877
403	0.2216989641
404	0.2212886655
405	0.2210836358
406	0.2206962995
407	0.2204429856
408	0.2200194075
409	0.2197707697
410	0.2194428413
411	0.2192667527
412	0.2190239561
413	0.2188812771
414	0.2183655716
415	0.2180103059
416	0.2174518601
417	0.2169277701
418	0.2167949868
419	0.2164726714
420	0.2161531878
421	0.215807589
422	0.2154588689
423	0.2153139274
424	0.2151827871
425	0.2148321902
426	0.2146234592
427	0.2145950284
428	0.2142286126
429	0.2137649449
430	0.21347376
431	0.2131132365
432	0.2127643477
433	0.2124698365
434	0.2122250666
435	0.2118288432
436	0.2115599841
437	0.2115058197
438	0.2110904725
439	0.2107237178
440	0.2103350244
441	0.2101210124
442	0.2097248477
443	0.2095565296
444	0.2092524277
445	0.2088577055
446	0.2087177335
447	0.208342947
448	0.2081121697
449	0.2079164252
450	0.2077416775
451	0.2074225011
452	0.2071804481
453	0.2068888312
454	0.2064882369
455	0.2063003378
456	0.2061602225
457	0.2057411159
458	0.2053568924
459	0.2049942912
460	0.2046044125
461	0.2043494762
462	0.2038799997
463	0.2036152706
464	0.2032468653
465	0.2028504297
466	0.2026126069
467	0.2022789364
468	0.2020440218
469	0.2016874995
470	0.2014079882
471	0.2011514391
472	0.2009425455
473	0.200761691
474	0.2005781203
475	0.2002206092
476	0.1999231566
477	0.1997176159
478	0.1993435089
479	0.1989678122
480	0.1985526929
481	0.1983657697
482	0.1981410467
483	0.1978022356
484	0.1974662627
485	0.1972714974
486	0.1971756237
487	0.1970268638
488	0.1968926229
489	0.1964628714
490	0.1963121159
491	0.1960253243
492	0.1957311899
493	0.195598218
494	0.1954241423
495	0.1950686666
496	0.1947756051
497	0.1945807629
498	0.194405182
499	0.1940540393
500	0.1938070162
501	0.1935001837
502	0.1932299172
503	0.1928678458
504	0.1926294767
505	0.192430178
506	0.1921051329
507	0.1919422832
508	0.1915465431
509	0.1913121868
510	0.1911326722
511	0.1908090319
512	0.1907409855
513	0.1904852401
514	0.1900699561
515	0.1899112653
516	0.1896993117
517	0.1895250837
518	0.1891593892
519	0.188916001
520	0.1886875516
521	0.1883086315
522	0.1879372158
523	0.187724907
524	0.1873883491
525	0.1872379059
526	0.1869701788
527	0.1867470093
528	0.1865101331
529	0.1862187605
530	0.1859319862
531	0.1855756272
532	0.1854109332
533	0.1849044435
534	0.184747475
535	0.1845546017
536	0.1842421754
537	0.1841026098
538	0.1838421239
539	0.1833710668
540	0.1830109904
541	0.1828299501
542	0.1825823612
543	0.1824888882
544	0.1821247494
545	0.1818624138
546	0.1815899763
547	0.1813913402
548	0.1811233133
549	0.1807960036
550	0.1804473844
551	0.1800941878
552	0.1799851053
553	0.179702868
554	0.1795287597
555	0.1791588786
556	0.1790915683
557	0.1787271498
558	0.1784945357
559	0.1782416646
560	0.1781289465
561	0.1779941497
562	0.1777162939
563	0.1774858144
564	0.1772132744
565	0.1770725694
566	0.1768431543
567	0.1765667248
568	0.1763495086
569	0.1760567597
570	0.1757888294
571	0.1754338176
572	0.1751641906
573	0.1749640406
574	0.1747782933
575	0.1745442668
576	0.1742286818
577	0.1738587426
578	0.1736811636
579	0.1734588341
580	0.1730504522
581	0.1727831324
582	0.1725381239
583	0.1723695666
584	0.1722166394
585	0.1720353535
586	0.1717117325
587	0.1715516588
588	0.1714110666
589	0.1711205029
590	0.1708725016
591	0.170697664
592	0.1704609033
593	0.1701199743
594	0.1700260464
595	0.1698235058
596	0.1696384155
597	0.1695988134
598	0.1693629732
599	0.1692528794
600	0.1691730092
601	0.1689899276
602	0.1686612995
603	0.1684002288
604	0.1682151604
605	0.1680343258
606	0.1677642373
607	0.1676469942
608	0.1675305242
609	0.1671816781
610	0.1671397782
611	0.1670067846
612	0.1668815349
613	0.1666197339
614	0.1663884507
615	0.1661392841
616	0.1659556372
617	0.1658757822
618	0.1657383103
619	0.1655087826
620	0.1653468173
621	0.1650354998
622	0.1648361076
623	0.1646566102
624	0.1643818055
625	0.1640928926
626	0.1638657225
627	0.1636531471
628	0.163405508
629	0.1631022359
630	0.1628131477
631	0.1626772772
632	0.1622504562
633	0.1619959441
634	0.1617265531
635	0.1615917883
636	0.161297144
637	0.1611821063
638	0.1610867274
639	0.1609778245
640	0.1607838765
641	0.160576225
642	0.1602761028
643	0.1600993506
644	0.1598425654
645	0.1596718349
646	0.1595509974
647	0.159414649
648	0.1592647052
649	0.158970103
650	0.1587727064
651	0.1586095163
652	0.1583787661
653	0.1581367912
654	0.1580149273
655	0.1578272641
656	0.1576036385
657	0.1572969015
658	0.1571244459
659	0.1568131745
660	0.1566369782
661	0.1565167885
662	0.1563379105
663	0.1561052479
664	0.1558545571
665	0.1556345859
666	0.1554374598
667	0.1552898982
668	0.1551418391
669	0.155047037
670	0.1547955258
671	0.1546612111
672	0.1544213308
673	0.1543158067
674	0.1541931243
675	0.1540921202
676	0.1538999003
677	0.1536702777
678	0.1535383276
679	0.153329078
680	0.1531805784
681	0.1530493697
682	0.1528040148
683	0.1526050033
684	0.1523825558
685	0.1520456352
686	0.1516773333
687	0.1515183675
688	0.1512627458
689	0.1510970184
690	0.1509994971
691	0.1507669846
692	0.1506807933
693	0.1504595261
694	0.1502941492
695	0.150126395
696	0.1498761663
697	0.1496897796
698	0.1494802788
699	0.1494707665
700	0.1493960031
701	0.1492054773
702	0.1490233242
703	0.1487575903
704	0.1486225622
705	0.1484912626
706	0.1483919568
707	0.1481992021
708	0.1479744244
709	0.1477330566
710	0.1474921574
711	0.147293182
712	0.1470962874
713	0.1470293201
714	0.1468843418
715	0.1467889674
716	0.1465119515
717	0.1462842368
718	0.1460786858
719	0.145787665
720	0.1455886593
721	0.1454693891
722	0.1453133574
723	0.1451566866
724	0.1450086523
725	0.1448346751
726	0.1446626011
727	0.1445337319
728	0.1443676958
729	0.144163
730	0.1440778272
731	0.143967981
732	0.1437055231
733	0.143498961
734	0.1433313229
735	0.1430872787
736	0.142885481
737	0.1427666968
738	0.142622418
739	0.1424222438
740	0.1422128866
741	0.1419562551
742	0.1417714302
743	0.1416088189
744	0.1414124069
745	0.1413328687
746	0.1411088457
747	0.1409321827
748	0.1408002534
749	0.1405542438
750	0.1403746655
751	0.1402011025
752	0.1399258746
753	0.1397719938
754	0.1395977766
755	0.1393154748
756	0.1392644918
757	0.1391511336
758	0.1390690898
759	0.1389129858
760	0.1387978489
761	0.138713283
762	0.1385375268
763	0.1382641181
764	0.1381326596
765	0.1379782421
766	0.1378532612
767	0.1377873964
768	0.1376494718
769	0.1375240456
770	0.1373186652
771	0.1371267111
772	0.1369451064
773	0.1366490546
774	0.1364800072
775	0.1363270255
776	0.1362414115
777	0.1362085517
778	0.135992255
779	0.1357329395
780	0.1356131136
781	0.1355093487
782	0.1354212441
783	0.135226925
784	0.1350864476
785	0.1349791289
786	0.1349529929
787	0.1346816827
788	0.1345394948
789	0.1344146783
790	0.1342791109
791	0.1341895798
792	0.134065922
793	0.1339301252
794	0.133716529
795	0.1336322088
796	0.1334556384
797	0.133255026
798	0.133037534
799	0.1329077953
800	0.1327459758
801	0.1326160439
802	0.1324963328
803	0.1322169115
804	0.1320702585
805	0.1319126133
806	0.1316859621
807	0.1315913508
808	0.1314595059
809	0.1313921014
810	0.1312429367
811	0.1310888861
812	0.130889052
813	0.1308239661
814	0.1306140285
815	0.1304746631
816	0.1303288351
817	0.1302676403
818	0.1301081658
819	0.129950126
820	0.1297017691
821	0.1295798561
822	0.1294786047
823	0.129168716
824	0.1289933028
825	0.1288743201
826	0.1287744102
827	0.1287104202
828	0.1285398359
829	0.1283955725
830	0.12831728
831	0.128139805
832	0.1279182819
833	0.1277190402
834	0.1275273682
835	0.1274047284
836	0.1273228914
837	0.1270773382
838	0.1269880015
839	0.1268489792
840	0.1267794678
841	0.1266015476
842	0.1263747579
843	0.1262461455
844	0.1260461365
845	0.1258715863
846	0.125718019
847	0.1254681772
848	0.1253213392
849	0.125105245
850	0.1249507609
851	0.1247601995
852	0.1246495445
853	0.1245379505
854	0.1242942436
855	0.1242095699
856	0.124063953
857	0.1238949703
858	0.1237672728
859	0.123604892
860	0.1234277512
861	0.1231939985
862	0.1229598938
863	0.1227599359
864	0.122638287
865	0.122382545
866	0.1222308378
867	0.1220649748
868	0.1219436925
869	0.1217742529
870	0.1215581259
871	0.1214852265
872	0.1213210856
873	0.1211583578
874	0.1210046785
875	0.1209480331
876	0.120889807
877	0.1207457896
878	0.120559507
879	0.1204993511
880	0.1204300915
881	0.1203292782
882	0.1201804309
883	0.1200810361
884	0.1199251028
885	0.1197289839
886	0.1195539587
887	0.1193345332
888	0.1192222474
889	0.1190735635
890	0.118905671
891	0.1187541062
892	0.1185442377
893	0.1183260895
894	0.1181665474
895	0.1179983875
896	0.1178642321
897	0.1176469452
898	0.1175570278
899	0.1173799458
900	0.1172540584
901	0.1171054011
902	0.1169361873
903	0.1169103853
904	0.1167620398
905	0.1166340029
906	0.1164921787
907	0.1163724043
908	0.1161236782
909	0.11595131
910	0.1158308282
911	0.1157401636
912	0.1155382712
913	0.1153367837
914	0.1151231181
915	0.1149027728
916	0.1147922147
917	0.1147331543
918	0.1145389925
919	0.1144419363
920	0.1143226011
921	0.1141743885
922	0.1140942886
923	0.1139255518
924	0.1138056632
925	0.1136554901
926	0.113507994
927	0.1133170495
928	0.1131789823
929	0.1130606269
930	0.1129713646
931	0.1127849512
932	0.1125986082
933	0.1124274634
934	0.1123911588
935	0.1121809737
936	0.112112625
937	0.1120159059
938	0.1119258752
939	0.1117579353
940	0.1115586779
941	0.1114769947
942	0.1113019526
943	0.1111500317
944	0.1110251507
945	0.1109290186
946	0.1107359467
947	0.1105983889
948	0.1104845398
949	0.110405215
950	0.1102558744
951	0.1100872728
952	0.1099285806
953	0.109821486
954	0.1097238733
955	0.1096041949
956	0.1095729223
957	0.1094597244
958	0.10932919
959	0.1092463201
960	0.1090862244
961	0.1089447188
962	0.1088204371
963	0.1087205891
964	0.1085812663
965	0.1083610792
966	0.1081917013
967	0.1081235856
968	0.108043859
969	0.1079747442
970	0.1078483896
971	0.1077310275
972	0.1075845738
973	0.1073710987
974	0.1071966324
975	0.1070001535
976	0.1067958484
977	0.1067608752
978	0.1065958362
979	0.1065210493
980	0.1063216105
981	0.1061673809
982	0.1061301814
983	0.1059789358
984	0.105892815
985	0.1057356661
986	0.10558885
987	0.1054212069
988	0.1051880045
989	0.105083891
990	0.1049724372
991	0.1049319078
992	0.1047726743
993	0.1046847323
994	0.1045724517
995	0.1045054991
996	0.1043057545
997	0.104194111
998	0.1040775294
999	0.1040426975
